JP;JP_KANA;RU
夫人;ふじん;супруга, замужняя женщина, госпожа
婦人;ふじん;женщина, дама
不正;ふせい;несправедливость, беззаконие
防ぐ;ふせぐ;обороняться, защищаться, предупреждать, предотвращать
不足;ふそく;недостаток, нехватка, дефицит, недовольство
舞台;ぶたい;сцена, арена
双子;ふたご;близнецы, двойня
再び;ふたたび;повторно, вторично, снова, еще раз
普段;ふだん;обычно, всегда
縁;ふち;край, оправа, рамка, кайма
打つ;ぶつ;бить, ударять, (разг.) говорить
物価;ぶっか;цены
物質;ぶっしつ;(филос.) материя, вещество
物理;ぶつり;закон природы, физика
筆;ふで;кисть (для письма), один мазок кистью, работа кисти
不図;ふと;внезапно, неожиданно, случайно, невзначай
部分;ぶぶん;часть, доля
不平;ふへい;претензия, недовольство, жалоба
不満;ふまん;недовольство, неудовлетворенность
;プラス;плюс
;プラン;план
不利;ふり;невыгодность, неблагоприятность
振る;ふる;махать, трясти, бросать, посыпать
震える;ふるえる;трястись, дрожать
;ブレーキ;тормоз
触れる;ふれる;трогать, дотрагиваться, касаться, затрагивать
;プロ;профессионал
分;ぶん;часть, порция, доля, участь
文;ぶん;письменность, литература, сочинение, текст, предложение
雰囲気;ふんいき;атмосфера
分析;ぶんせき;анализ
文明;ぶんめい;цивилизация, просвещение
分野;ぶんや;отрасль, сфера, арена действий
塀;へい;ограда, стена, забор
平均;へいきん;средняя величина, равновесие, баланс
平和;へいわ;мир, гармония
別に;べつに;особо, отдельно, специально
減らす;へらす;уменьшать, сокращать, снижать
減る;へる;уменьшаться, сокращаться, спадать, стираться, изнашиваться
;ベルト;ремень, пояс (для западной одежды)
変化;へんか;перемена, изменение, разнообразие
変化;へんげ;призрак, оборотень
;ペンキ;малярная краска
変更;へんこう;изменение, поправка
;ベンチ;скамейка
法;ほう;закон, правило, способ, метод, учение, доктрина
棒;ぼう;палка, дубинка, шест, черта
冒険;ぼうけん;риск, авантюра, приключение
方向;ほうこう;направление, сторона, курс, цель
報告;ほうこく;доклад, отчёт, сообщение, рапорт
宝石;ほうせき;драгоценный камень
豊富;ほうふ;изобилие
方法;ほうほう;способ, метод, средство, методика, система
方々;ほうぼう;всюду, везде, кругом
訪問;ほうもん;посещение, визит
吠える;ほえる;лаять, реветь, выть
;ボーイ;мальчик, официант, посыльный
;ボート;лодка, шлюпка
;ホーム;платформа, дом
;ボール;мяч, шар
外・他;ほか;другой, другое место
誇り;ほこり;гордость
埃;ほこり;пыль
保証;ほしょう;гарантия, поручительство
保存;ほぞん;хранение, сохранность
程;ほど;мера, границы, примерно, около, настолько, такой как
歩道;ほどう;тротуар, пешеходная дорожка
仏;ほとけ;Будда, усопший
骨;ほね;кость, костяк, остов, каркас, труды, старания
炎;ほのお;пламя, огонь
頬;ほほ・ほお;щека, щёки
;ほぼ;почти, примерно, более или менее
微笑む;ほほえむ;улыбаться
濠;ほり;ров, канава, канал
本人;ほんにん;сам, лично, лицо, о котором идет речь
本物;ほんもの;настоящая подлинная вещь, подлинное мастерство
;ぼんやり;рассеяно, с растерянным видом, праздно, туманно, смутно
間;ま;место, время (пространство)
;まあ;ну, пожалуй, ах! (жен.)
;マーケット;рынок
;マイク;микрофон
迷子;まいご;потерявшийся ребенок
任せる;まかせる;поручать, доверять, оставлять усмотрение
幕;まく;занавес, действие, акт, случай, дело
負け;まけ;поражение, проигрыш
孫;まご;внук, внучка
;まさか;Не может быть! Что вы! вряд ли, едва(с отриц.)
;まさに;как раз, точно, ровно, именно
真面目;まじめ;серьёзный, честный, порядочный, добросовестный
増す;ます;увеличивать(ся), прибавлять(ся), возрастать
貧しい;まずしい;бедный, нуждающийся, недостаточный, скромный
;マスター;мастер
;ますます;всё больше и больше, еще больше
街;まち;город, квартал, улица
間違い;まちがい;ошибка, происшествие, недоразумение, конфликт
松;まつ;сосна
真っ赤;まっか;ярко красный, пунцовый
真っ直ぐ;まっすぐ;прямо
全く;まったく;совершенно, абсолютно, всецело, вполне, действительно
学ぶ;まなぶ;учиться, изучать
真似;まね;подражание, симуляция, поведение
招く;まねく;приглашать, манить, звать, вызывать, увлекать за собой
;ママ;мама
豆;まめ;бобы, горох
守る;まもる;защищать, охранять, соблюдать, выполнять, держать слово
円・丸;まる;круг
;まるで;совершенно, совсем
回す;まわす;вертеть, крутить, вращать, рассылать, передавать
回り;まわり;вращение, окружность, оборот, край, бордюр, объезд, через, путём
万一;まんいち;чего доброго, крайний (случай)
満足;まんぞく;удовлетворение, удовлетворенность, достаточность
身;み;тело, сам человек, душа, ум, положение, мякоть, клинок
実;み;семя, плод, фрукт, суть, содержание
見送り;みおくり;проводы, провожающий
味方;みかた;сторонник, союзник, друг
見事;みごと;прекрасный, восхитительный
;ミス;промах, ошибка, неудача, мисс, девушка
満ちる;みちる;наполняться, становиться полным, истекать (о сроке)
密;みつ;тесный, близкий, густой, плотный, подробный, тщательный, секретный
認める;みとめる;признавать, одобрять, разрешать, обнаруживать, полагать
皆;みんな;все, всё
都;みやこ;столица
妙;みょう;чудо, тайна, странное, необычное
明後日;みょうごにち;послезавтра
未来;みらい;будущее
魅力;みりょく;очарование, обаяние, привлекательность
;ミルク;молоко
無;む;ничто, ничего
向かい;むかい;напротив, противоположный
迎え;むかえ;встреча, встречающий
向く;むく;быть обращенным (на что-то), поворачиваться, годиться, подходить
向ける;むける;поворачивать, посылать, направлять, предназначать
無視;むし;игнорирование, не считаться, не обращать внимания
虫歯;むしば;испорченный зуб, кариес
寧ろ;むしろ;скорее, предпочтительнее, более вероятно
結ぶ;むすぶ;связывать, завязывать, соединять, присоединять, заключать (договор)
無駄;むだ;бесполезность, напрасность, тщетность
夢中;むちゅう;не помнить себя, быть как во сне, увлечься, без памяти
胸;むね;грудь, сердце, душа
無料;むりょう;бесплатный
芽;め;росток, всходы, почка, бутон, побег
明確;めいかく;ясность, определенность
命じる;めいじる;приказывать, распоряжаться, назначать (на должность)
名人;めいじん;мастер (своего дела)
命令;めいれい;приказ, распоряжение, указ
迷惑;めいわく;беспокойство, неудобство, тягость
飯;めし;варенный рис, пища, еда, пропитание
滅多に;めったに;почти никогда, редко (с отриц.)
;メモ;примечание, заметка, сообщение, записная книжка
面;めん;лицо, маска, поверхность, сторона, грань, аспект
綿;めん;хлопок
免許;めんきょ;лицензия, разрешение, свидетельство
面倒;めんどう;беспокойство, затруднение
;メンバー;участник
申し込む;もうしこむ;подавать заявку, заявлять, заказывать
申し訳;もうしわけ;извинение, оправдание
毛布;もうふ;одеяло
燃える;もえる;гореть, пылать
目的;もくてき;цель, задача
目標;もくひょう;знак, отметка, цель, объект
木曜;もくよう;(сокр.) четверг
文字;もじ・もんじ;буква, письменный знак, иероглиф, письменность, алфавит
;もしも;если, в случае
持ち上げる;もちあげる;поднимать, превозносить
用いる;もちいる;пользоваться, употреблять, принимать, нанимать
最も;もっとも;самый, наиболее
尤も;もっとも;правильный, резонный, обоснованный, впрочем
元・基・素;もと;начало, исток, основа, корень, материал
戻す;もどす;возвращать, отдавать обратно, класть на свое место, поворачивать назад, отклонять
基づく;もとづく;основываться, базироваться
求める;もとめる;требовать, просить, искать, покупать
者;もの;человек, некто, тот кто
物音;ものおと;шум, звук
物語;ものがたり;рассказ, история, повествование, легенда
物事;ものごと;дела, вещи, обстоятельства
模様;もよう;узор, рисунок, состояние дел, ситуация, признаки
貰う;もらう;получать, взять, брать
文句;もんく;слова, выражение, фраза, жалобы, недовольство, претензии
;やがて;скоро, вскоре, почти
役;やく;служба, должность, обязанности, роль
約;やく;обещание, сокращение, приблизительно
訳;やく;перевод (с иностранного языка)
役割;やくわり;роль, распределение ролей
家賃;やちん;квартирная плата
厄介;やっかい;хлопоты, заботы, обременение, помощь, иждивение
宿;やど;гостиница, ночлег, дом, квартира
雇う;やとう;нанимать, принимать на работу
屋根;やね;крыша, кровля
;やはり;всё-таки, все ещё, также, тоже
破る;やぶる;разбивать, рвать, разрушать, прорывать, взламывать, нарушать
辞める;やめる;уходить в отставку, увольняться
;やや;до некоторой степени, немного, изрядно
唯一;ゆいいつ;единственный, уникальный
勇気;ゆうき;мужество, храбрость, смелость, доблесть
有効;ゆうこう;действительный, имеющий силу, эффективный
優秀;ゆうしゅう;совершенство, превосходство
優勝;ゆうしょう;победа (в конкурсе, спорте)
友情;ゆうじょう;дружба, дружеские чувства
友人;ゆうじん;друг
有能;ゆうのう;способный, умеющий, знающий, компетентный
郵便;ゆうびん;почта
夕べ;ゆうべ;вечер, вечером, вчера вечером
;ユーモア;юмор
有利;ゆうり;выгодный, полезный, благоприятный
床;ゆか;пол
愉快;ゆかい;приятный, веселый
輸出;ゆしゅつ;экспорт, вывоз
譲る;ゆずる;отдавать, передавать, уступать (дорогу, место, в споре), идти на компромисс, откладывать
豊か;ゆたか;обильный, богатый
輸入;ゆにゅう;импорт, ввоз
許す;ゆるす;разрешать, позволять, прощать, извинять, освобождать, доверить
夜明け;よあけ;рассвет
様;よう;такой как, похожий
酔う;よう;опьянеть, напиться, страдать от качки, отравиться
容易;ようい;легкость, простота
陽気;ようき;погода, сезон, оживленность, жизнерадостность
要求;ようきゅう;требование, запрос, необходимость
用心;ようじん;осторожность, бдительность
様子;ようす;положение вещей, обстоятельства, вид, облик, поведение, признак
要するに;ようするに;одним словом, короче говоря, по существу
要素;ようそ;важный элемент, существенный фактор, неотъемлемая часть
要点;ようてん;главный момент, основное содержание, суть
曜日;ようび;день недели
;ヨーロッパ;Европа
予期;よき;ожидания, надежды, предвкушения, предвидение
横切る;よこぎる;пересекать, переходить
予算;よさん;бюджет, смета
止す;よす;прекратить, бросить, отказаться от намерения
予測;よそく;предположения, предсказания, прогноз, предварительный расчет
;ヨット;яхта
夜中;よなか;полночь, поздняя ночь
世の中;よのなか;мир, свет, общество, жизнь, времена
余分;よぶん;излишек, избыток
予報;よほう;прогноз, предсказание
予防;よぼう;предупреждение, предотвращение, предохранение, профилактика
読み;よみ;чтение
嫁;よめ;невеста, молодая жена, невестка, сноха
余裕;よゆう;свобода действий, возможности, достаток, излишек, широта взглядов
喜び;よろこび;радость, поздравление
宜しい;よろしい;хороший, хорошо
宜しく;よろしく;хорошо, привет
来;らい;следующий, начиная с
;ライター;зажигалка, писатель
楽;らく;удобство, приятность, легкость
;ラケット;ракетка (для наст. тенниса)
利益;りえき;прибыль, доход, выгода, польза
理解;りかい;понимание
陸;りく;суша, земля, материк
利口;りこう;умный
離婚;りこん;развод, расторжение брака
理想;りそう;идеал
率;りつ;соотношение, процент, коэффициент, индекс, показатель
立派;りっぱ;прекрасный, превосходный, порядочный, приличный, честный, законный
留学;りゅうがく;обучение за границей
流行;りゅうこう;мода
量;りょう;количество, объем, вес, доза
両替;りょうがえ;размен, обмен (валюты)
料金;りょうきん;плата
例;れい;пример, прецедент, обыкновение
礼;れい;поклон, приветствие, вежливость, учтивость, церемония, благодарность
礼儀;れいぎ;манеры, правила приличия, этикет
冷静;れいせい;хладнокровие, спокойствие, сдержанность
列;れつ;ряд, шеренга, колонная, очередь
列車;れっしゃ;поезд
連想;れんそう;ассоциация (идей)
連続;れんぞく;продолжение, последовательность, непрерывный (в соч.) 
老人;ろうじん;пожилой человек, старик
労働;ろうどう;работа, физический труд
;ロケット;ракета, медальон, кулон
論じる;ろんじる;рассматривать, трактовать, принимать во внимание
論争;ろんそう;спор, дискуссия, полемика
論文;ろんぶん;статья, сочинение, трактат, диссертация
輪;わ;кольцо, круг, колесо, обруч, звено, виток
;わがまま;своенравие, эгоизм, каприз, произвол
別れ;わかれ;отделение, ответвление, развилка, расставание, разлука
脇;わき;бок, боковая сторона, другое, отдельное, подмышка
分ける;わける;делить, разъединять, разделять
;わざと;нарочно, намеренно, специально
僅か;わずか;всего лишь, только, немного
綿;わた;вата, хлопок
話題;わだい;тема (разговора)
笑い;わらい;смех
割る;わる;делить, разделять, ломать, расщеплять, разбивать, разбавлять (водой)
悪口;わるくち;брань, злословие
我々;われわれ;мы
湾;わん;бухта, залив
